NAME,INDEX,KEYWORD,S,L,X_BMAD,Z,PX,PZ,BETX_BMAD,BETY_BMAD,DX_BMAD,BETX_MADX,BETY_MADX,DX_MADX,X_MADX
IP.1,2,Marker,0.0,0.0,-6.416288151426539e-14,-2.7970687044236238e-12,1.352440504672746e-13,2.9603308885304735e-05,0.3003952996649104,0.0010196626339815632,6.062912942538339e-07,0.30000921898133304,0.0009999174253534874,1.2453410068212173e-07,-1.4418850720037662e-14
QC1L1.1,4,Quadrupole,3.4002250210956806,1.2,4.4877507860979607e-13,-2.7952435225188707e-12,2.3441619735235364e-13,2.9603308885304735e-05,50.55357261425148,8512.103166414776,2.584494637085641e-06,50.61670132401747,8680.20114035305,2.2270406837618146e-06,2.331075474625475e-13
QC1R2.1,6,Quadrupole,4.480225021095681,1.0,7.706714735237124e-13,-2.794663797222815e-12,3.843224829748019e-13,2.9603308885304735e-05,141.60983275155758,7696.043648633499,4.1537004262112e-06,141.78755376189224,7848.050991270099,3.6952596345843074e-06,3.9479513859720007e-13
QC1R3.1,8,Quadrupole,5.560225021095681,1.0,1.1721062351284005e-12,-2.7940840719267846e-12,3.5526337109154113e-13,2.9603308885304735e-05,321.416686665213,5081.187904399444,6.160065327872183e-06,321.82056521430763,5181.578421106481,5.548696894771503e-06,5.973921601052275e-13
QC2R1.1,10,Quadrupole,7.1102250210956806,1.25,1.6104534019989181e-12,-2.7932520587704026e-12,1.6851447569346699e-13,2.9603308885304735e-05,599.1414690391433,2970.3493083890653,8.320036090688841e-06,599.8953413541198,3029.0740321765356,7.558543977581661e-06,8.180200069989586e-13
QC2R2.1,12,Quadrupole,8.440225021095682,1.25,1.7115984038313174e-12,-2.7925381378039096e-12,-2.996925737973126e-14,2.9603308885304735e-05,671.6782895757441,2485.1212550175346,8.751919121787588e-06,672.5250089425401,2534.2878927849033,7.992113286397103e-06,8.676397427559093e-13
PQC2RE.1,14,Marker,8.440225021095682,0.0,1.7115984038313174e-12,-2.7925381378039096e-12,-2.996925737973126e-14,2.9603308885304735e-05,671.6782895757441,2485.1212550175346,8.751919121787588e-06,672.5250089425401,2534.2878927849033,7.992113286397103e-06,8.676397427559093e-13
QT1.1,16,Quadrupole,11.00778344703248,1.0,1.6363177446291318e-12,-2.791159916906927e-12,-2.6648885598760375e-14,2.9603308885304735e-05,604.8746203613829,2394.4849897684608,8.197579086798902e-06,605.6407685963115,2441.9254720300846,7.563715899989366e-06,8.261974617520732e-13
QC3.1,18,Quadrupole,16.07534187296928,3.5,1.546047316458897e-12,-2.7884397393059986e-12,-1.1965769082439199e-15,2.9603308885304735e-05,522.4030408076537,2058.02213799463,7.390470458914882e-06,523.0715403695015,2098.919700399047,6.985394326597352e-06,7.737452604658639e-13
QC4.1,20,Quadrupole,22.575409090553674,3.5,1.5156701049233469e-12,-2.784950615794504e-12,-1.4073498428383417e-14,2.9603308885304735e-05,479.8379609756187,1454.8367013457805,6.7752769682378355e-06,480.4602012868326,1483.8941277987176,6.634845210480583e-06,7.494392430427003e-13
BC1.1,22,Sbend,63.707516665043265,40.83210757449,4.6166210437847965e-10,-3.0269120543380268e-12,2.2553587296896094e-11,2.7715492101456574e-05,109.2307007397788,7.134378875057845,0.036339447749396875,109.38896904482337,7.300485151710305,0.03634110259853384,-2.1167537729318538e-12
