NAME,INDEX,KEYWORD,S,L,X_BMAD,Z,PX,PZ,BETX_BMAD,BETY_BMAD,DX_BMAD,BETX_MADX,BETY_MADX,DX_MADX,X_MADX
IP.1,2,Marker,0.0,0.0,-5.819893188670262e-13,-1.5914049184596235e-08,6.44493806720338e-13,-2.0571413117004276e-05,1.0024278214873996,0.0016928235813006122,4.367781144773957e-06,1.000844150306566,0.0015993584898508122,1.2290148923569797e-06,-2.4403728907437364e-13
QC1L1.1,4,Quadrupole,3.4002250210956806,1.2,1.7411762807406087e-12,-1.5914049781011985e-08,8.936008843704034e-13,-2.0571413117004276e-05,15.00116492608804,5670.924526906573,4.33056475522789e-06,15.030439336254478,6002.285419459731,4.941436413956295e-06,1.3229111770013059e-12
QC1R2.1,6,Quadrupole,4.480225021095681,1.0,2.8815685023264307e-12,-1.5914049970449157e-08,1.2732930336482632e-12,-2.0571413117004276e-05,35.305755688027396,6577.058242850542,5.422056365817048e-06,35.37381225521841,6961.421328190104,7.313498338411654e-06,2.129899680257447e-12
QC1R3.1,8,Quadrupole,5.560225021095681,1.0,4.539485252037718e-12,-1.591405015988633e-08,1.881107369678052e-12,-2.0571413117004276e-05,82.52325196856539,5292.137228150166,7.487375785403867e-06,82.68062806592845,5601.4998291634965,1.0999041831288829e-05,3.3194076093174934e-12
QC2R1.1,10,Quadrupole,7.1102250210956806,1.25,6.986287539268963e-12,-1.5914050431763754e-08,1.0901574541667717e-12,-2.0571413117004276e-05,189.01742635046153,3069.166986412608,1.0626458889750668e-05,189.37529736904872,3248.7132020390013,1.6483366245252365e-05,5.078020173282044e-12
QC2R2.1,12,Quadrupole,8.440225021095682,1.25,7.694324786881076e-12,-1.5914050665052126e-08,-1.1350122429513647e-13,-2.0571413117004276e-05,225.39151811989933,2697.2180079598934,1.1203537331410692e-05,225.81821953232927,2855.1180942928413,1.790632315322956e-05,5.575642616691291e-12
PQC2RE.1,14,Marker,8.440225021095682,0.0,7.694324786881076e-12,-1.5914050665052126e-08,-1.1350122429513647e-13,-2.0571413117004276e-05,225.39151811989933,2697.2180079598934,1.1203537331410692e-05,225.81821953232927,2855.1180942928413,1.790632315322956e-05,5.575642616691291e-12
QT1.1,16,Quadrupole,11.00778344703248,1.0,7.365383272469853e-12,-1.5914051115414167e-08,-1.882759053466283e-13,-2.0571413117004276e-05,199.9239338425337,3236.2480136517966,9.818080274816044e-06,200.30415202214596,3425.9213032501843,1.669192509015569e-05,5.306441660638881e-12
QC3.1,18,Quadrupole,16.07534187296928,3.5,7.611205804038796e-12,-1.591405200428818e-08,5.06110569909785e-13,-2.0571413117004276e-05,198.65252935267543,3417.5842981616447,8.093371811736603e-06,199.03248555749875,3618.2700747515682,1.623267127343961e-05,5.413718084382195e-12
QC4.1,20,Quadrupole,22.575409090553674,3.5,9.863915061852043e-12,-1.5914053144431095e-08,-9.41346930117036e-14,-2.0571413117004276e-05,314.3822436894876,1600.5644685375382,8.319709688301322e-06,314.98274934075494,1694.9772675243366,1.996288590281788e-05,6.9422087858651776e-12
BC1.1,22,Sbend,63.707516665043265,40.83210757449,7.023238102199514e-10,-1.5914473294742493e-08,3.401166755081614e-11,-2.6425248419628793e-05,69.2781151057542,8.506885219397407,0.03633193399360227,69.39790286151997,9.129846131559573,0.036344960038855345,9.191933030549635e-13
QC5.1,24,Quadrupole,67.50751666504327,3.5,9.495266121103045e-10,-1.5914474150968944e-08,1.0484756670671784e-10,-2.6425248419628898e-05,77.26516586780035,1.7792369019540613,0.049200722952374674,77.3902906620918,1.7029911884093827,0.049215773185208395,1.8424821939752455e-13
BC2.1,26,Sbend,68.70607308483619,0.89855641979292,1.076060150665835e-09,-1.5914577433662203e-08,1.0677113417561024e-10,-2.7271153945060628e-05,88.6635066801613,5.156143734232342,0.055775213952196555,88.8041342791758,5.212610343904384,0.055791692007190946,-2.7735860869497842e-14
QC6.1,28,Quadrupole,72.50607308483619,3.5,1.3293024467852983e-09,-1.5914578317298716e-08,1.6960350198864114e-11,-2.7271153945060808e-05,103.06063867413779,39.59908233259809,0.06895114981771829,103.21477184929422,41.47461189745936,0.06896991867320251,-6.813509141764081e-13
BC3.1,30,Sbend,113.63751008468493,40.831436999849,3.013517248240394e-09,-1.5919653151286184e-08,6.52832312179926e-11,-3.905535803515113e-05,20.14733637752855,3469.6613065231995,0.1571503576232819,20.110592607241735,3672.1991159414524,0.15716879412142626,-1.179949913758909e-11
QC7.1,32,Quadrupole,117.43751008468493,3.5,3.4863057594396466e-09,-1.5919654416795517e-08,1.967547849337426e-10,-3.90553580351515e-05,24.0313661379905,3537.610133295712,0.18185144997801317,23.986735816744925,3744.44986272708,0.18187078186684136,-1.4170961540416105e-11
SY1R.1,34,Sextupole,117.88751008468493,0.15,3.5748488716808033e-09,-1.5919654566663115e-08,1.9675479754526194e-10,-3.90553580351515e-05,25.06797751954813,3475.109110965809,0.18647457470176765,25.02166747353794,3678.336175162711,0.18649416627728052,-1.4582678096551272e-11
SY1R.2,36,Sextupole,118.03751008468494,0.15,3.6043632449607135e-09,-1.591965461661898e-08,1.9675481036675202e-10,-3.90553580351515e-05,25.4220458647353,3454.3992422039373,0.18801561654059454,25.375176027043455,3656.429165109728,0.1880352944130143,-1.4719916948554138e-11
BC4.1,38,Sbend,150.16568128047643,31.828171195791,1.0175627684211319e-08,-1.5925280649753404e-08,2.1244060113419912e-10,-4.064273042711492e-05,199.5605018831554,445.27542524168007,0.5311104962065326,199.396177898209,472.3634543138182,0.5311497156297846,-4.5106435425160085e-11
QY2.1,40,Quadrupole,153.96568128047647,3.5,1.0263909119836796e-08,-1.5925281966697506e-08,-1.9857705897783201e-10,-4.06427304271186e-05,203.60192776796546,324.3366450703557,0.5357305479043666,203.44761237332025,344.35431035707296,0.5357700181898601,-4.562912896859449e-11
BC5.1,42,Sbend,196.20804042045765,41.942359139981,2.930450833382725e-09,-1.594208498545413e-08,-1.4825873932926308e-10,-5.308623915470478e-05,16.931233128670204,5.859623688370375,0.1531708337529227,16.964297124335634,5.690159512636664,0.1531903559117259,-1.507498921319214e-11
QY1.1,44,Quadrupole,200.0080404204577,3.5,2.5290514326183894e-09,-1.5942086705620597e-08,-5.768938296682924e-11,-5.308623915470496e-05,15.539304297915567,6.765925713970765,0.13225954558417993,15.57134507498553,6.29729222843016,0.13227819352945627,-1.3653373621182926e-11
BC6.1,46,Sbend,242.2503995604389,41.942359139981,9.60848844933082e-10,-1.5945531117722567e-08,-1.626031394270102e-11,-6.150401973416894e-05,155.38201040518638,326.5798868893442,0.05105084274547752,155.20085215890253,344.5289459691611,0.051073442839136535,-1.2438444854730139e-11
QY2.2,48,Quadrupole,246.0503995604389,3.5,8.348262797519135e-10,-1.5945533110652625e-08,-5.2158667651198845e-11,-6.150401973416897e-05,156.98634000597022,437.0026132803258,0.04446944067522479,156.79168138454008,461.469840133543,0.04449100250066941,-1.1820626160724982e-11
BC7.1,50,Sbend,278.17857075623044,31.828171195791,-7.53322404456469e-12,-1.594626652945408e-08,2.1310772250500604e-13,-7.93467737541897e-05,25.87115743299425,3413.3986839288514,6.5822254040903374e-06,25.823530640856003,3613.124615694754,6.561970829509212e-06,-3.273189195728644e-12
SY2R.1,52,Sextupole,278.62857075623043,0.15,-7.437316895693723e-12,-1.5946266833936492e-08,2.1310772255398489e-13,-7.93467737541897e-05,25.06838231136816,3475.0938145038876,6.9371724979302445e-06,25.022625473592576,3678.470862221849,6.639951070095911e-06,-3.2255261983729286e-12
SY2R.2,54,Sextupole,278.7785707562304,0.15,-7.405348200694158e-12,-1.5946266935429506e-08,2.1310772260254446e-13,-7.93467737541897e-05,24.807139437773174,3495.7814473959857,7.055486883378266e-06,24.762001923810818,3700.38311033368,6.665944483617255e-06,-3.2096385325858525e-12
QA1.1,56,Quadrupole,281.9785707562304,2.9,-7.380696617349938e-12,-1.594626910061377e-08,-2.4060766170356107e-13,-7.93467737541897e-05,24.093780332989933,3300.0853055486496,1.0321005065788743e-05,24.054683250166512,3493.5230785827066,7.854575914143308e-06,-3.1540312410840592e-12
QA2.1,58,Quadrupole,294.7340102257321,2.9,-9.309973230812998e-12,-1.5946277731200267e-08,5.396141760418981e-13,-7.93467737541897e-05,43.42680975639898,813.284298173024,2.4481955560056993e-05,43.40244458449186,861.6534306945877,1.4127745592426002e-05,-3.821895448181875e-12
QA3.1,60,Quadrupole,310.7644676447472,2.9,-7.028627011627771e-13,-1.594628857772968e-08,5.138603181943766e-13,-7.93467737541897e-05,8.16183146309436,648.1103337121681,1.478111873629699e-05,8.178239919343675,687.9743719352077,5.828042243379972e-06,-1.1197868722644576e-13
QA4.1,62,Quadrupole,330.826636236111,2.9,9.275934778655978e-12,-1.5946302152195836e-08,2.803221027157856e-13,-7.93467737541897e-05,56.00035989246517,190.50965935212082,7.289735035642791e-06,55.91439907299094,203.18554965447163,-2.4117649459385783e-06,4.240450096058651e-12
QA5.1,64,Quadrupole,340.3063786809216,2.9,1.2104161557773117e-11,-1.5946308566379944e-08,3.9968018830893026e-13,-7.93467737541897e-05,80.57736305288932,132.4816654431299,1.916745716355744e-06,80.43204559716254,141.84213981441462,-5.943583719114136e-06,5.429684217953012e-12
QA6.1,66,Quadrupole,351.5934190316062,2.9,1.5661183289453685e-11,-1.594631620341811e-08,-2.6000704973433536e-13,-7.93467737541897e-05,122.96972341006708,67.39566956803122,-4.026834471036579e-06,122.7352850797893,72.53370609301469,-1.0085832531909239e-05,6.9364762524497025e-12
BS1.1,68,Sbend,380.4680925034961,28.57467347189,6.395106666445827e-10,-1.594682785821533e-08,4.3925766982882424e-11,-9.345085042809941e-05,30.016275062879146,89.87276301449354,0.03300893303207975,29.981847963843396,95.71893729947327,0.03301674215896957,1.0059187056387395e-13
QS1.1,70,Quadrupole,382.5680925034962,1.8,7.470187698436103e-10,-1.5946829531726947e-08,6.126511142915856e-11,-9.345085042809941e-05,28.109319120959128,88.45428141620727,0.03865055765237503,28.083771756984895,94.03267536901915,0.0386596481555527,-6.484216128758008e-13
BS2.1,72,Sbend,392.3006242177747,9.4325317142785,1.3433391379113523e-09,-1.5946829634572168e-08,6.126534427365208e-11,-9.345085042809941e-05,31.31844281888522,61.262252512114195,0.06986749966858644,31.32956333667017,64.29163900010863,0.06988365338862704,-4.1759265282442415e-12
QS2.1,74,Quadrupole,394.40062421777475,1.8,1.4360222252692155e-09,-1.594683130808069e-08,2.0928607049076616e-11,-9.345085042809948e-05,31.248704806927048,59.42374727975329,0.0747310836610886,31.26779682816738,62.112174975105845,0.07474836725876868,-4.821208461261432e-12
BS3.1,76,Sbend,403.17833528765885,8.4777110698842,1.6201080649867023e-09,-1.5946838516356365e-08,2.1014269774866818e-11,-9.345102843209718e-05,25.564973847943303,70.90988687209823,0.08448145489414868,25.606726341370152,72.84260105878087,0.08450123092636537,-6.851617644628447e-12
QS3.1,78,Quadrupole,405.27833528765893,1.8,1.7200811394360062e-09,-1.5946840189868648e-08,8.363870459371775e-11,-9.345102843209734e-05,26.864561332318377,69.31165584064331,0.08973129606780794,26.913167490828574,70.90977131238418,0.08975229099620302,-7.578256220887546e-12
FG.1,80,Marker,422.6881900025521,0.0,3.176354925237448e-09,-1.594685406400435e-08,8.363870459371775e-11,-9.345102843209734e-05,79.900336242222,23.841281218761427,0.16598294763471616,80.0577126758765,22.890829343296932,0.16602103865634033,-1.6332656065790267e-11
SF1.1,82,Sextupole,424.3881900025521,1.4,3.318554011470823e-09,-1.5946855418756076e-08,8.363870425765444e-11,-9.345102843209734e-05,87.31866047570713,21.5111629821074,0.17342860467056428,87.48859920975028,20.46734679238343,0.17346836507851332,-1.718748684870951e-11
SF1.2,84,Sextupole,425.8881900025521,1.4,3.444023792892495e-09,-1.5946856614125245e-08,8.363870389523326e-11,-9.345102843209734e-05,94.19514735586631,19.766915684577604,0.17999830199775943,94.376457368228,18.66369364565932,0.1800395354513165,-1.7941749304241233e-11
QFG2.1,86,Quadrupole,429.0881900025521,2.9,3.461641704078705e-09,-1.5946859164239614e-08,-8.873272953407765e-11,-9.345102843209813e-05,95.61518485285349,19.665265526080578,0.18094427952345538,95.79489247509485,18.334550682200078,0.18098592902565724,-1.8242214594854383e-11
BG1.1,88,Sbend,452.89329081955435,23.505100817002,1.8710942274735576e-09,-1.5952828391618823e-08,-4.4325439526478825e-11,-0.00011081605675443087,22.149674605284222,86.5867361114062,0.09805088068385903,22.156633819537717,82.82678403176693,0.0980748289773276,-1.1803132194884036e-11
QDG1.1,90,Quadrupole,458.1932908195544,1.8,1.7109783640531202e-09,-1.595283340020598e-08,3.8775156609291555e-11,-0.00011081605675443117,17.93417905043543,102.74846594129271,0.08976294768230701,17.920952651740322,98.9654955709869,0.08978388161930659,-1.1576268160576449e-11
BG1.2,92,Sbend,481.9983916365567,23.505100817002,3.156037240575893e-09,-1.5958303123397855e-08,8.317719190943137e-11,-0.00012817987884222617,80.33956674400365,22.058373851555263,0.16601858306436937,80.19548908535856,22.89127254000452,0.16604981322752851,-2.4645396991145095e-11
